,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
222,2024-01-17,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.01,3884,3922.84,G
223,2024-01-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,59,99.12,Q
224,2024-01-17,BANCO PICHINCHA C.A.,ACCIONES,100,80,63,5040,Q
225,2024-01-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,812,1364.16,Q
226,2024-01-17,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
227,2024-01-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,98,164.64,Q
229,2024-01-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,1036,1761.2,Q
231,2024-01-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,1964,3338.8,Q
233,2024-01-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,402,675.36,Q
235,2024-01-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,78,131.82,Q
239,2024-01-17,CERVECERIA NACIONAL CN S A,ACCIONES,1,40,9,360,Q
251,2024-01-18,CERVECERIA NACIONAL CN S A,ACCIONES,1,40,160,6400,G
252,2024-01-18,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
253,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,8000,13360,Q
255,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,5000,8350,Q
257,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,1737,2900.79,Q
259,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,518,870.24,Q
260,2024-01-18,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
261,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,55,101.2,Q
263,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,150,255,Q
265,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,204,346.8,Q
267,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,12608,21055.36,Q
269,2024-01-18,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.05,2137,2243.85,G
271,2024-01-18,BEVERAGE BRAND PATENTS SA,ACCIONES,1,20,505,10100,Q
273,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,1000,1670,G
274,2024-01-18,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,3,294,Q
275,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,8000,13360,G
279,2024-01-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,4000,6680,G
280,2024-01-18,BANCO PICHINCHA C.A.,ACCIONES,100,83.5,9,751.5,Q
281,2024-01-18,BOLSA DE VALORES DE QUITO,ACCIONES,1,2.7,11265,30415.5,Q
282,2024-01-18,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,71,71,Q
289,2024-01-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,12000,13200,Q
290,2024-01-19,INDUSTRIAS ALES,ACCIONES,1,0.56,3227,1807.12,Q
291,2024-01-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,3323,3655.3,Q
292,2024-01-19,BRIKAPITAL SA,ACCIONES,1000,590,34,20060,Q
293,2024-01-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.13,2934,3315.42,Q
294,2024-01-19,HOLCIM ECUADOR S.A.,ACCIONES,3,50,30,1500,Q
295,2024-01-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,11800,13570,Q
296,2024-01-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.13,11800,13334,Q
297,2024-01-19,INVERSANCARLOS,ACCIONES,1,2.4,6101,14642.4,Q
298,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,2000,3340,Q
299,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,12049,20121.83,Q
300,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,218,370.6,Q
301,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,732,1244.4,Q
302,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1177,1977.36,Q
303,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,200,340,Q
304,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,102,173.4,Q
305,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,127,215.9,Q
306,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,548,931.6,Q
307,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,224,378.56,Q
308,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,589,1001.3,Q
309,2024-01-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,95,161.5,Q
310,2024-01-22,BRIKAPITAL SA,ACCIONES,1000,590,47,27730,Q
311,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,880,1487.2,Q
312,2024-01-22,BRIKAPITAL SA,ACCIONES,1000,580,7,4060,Q
313,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,8,13.6,Q
314,2024-01-22,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,458,458,Q
315,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,6699,11187.33,Q
316,2024-01-22,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,450,450,Q
317,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,980,1646.4,Q
318,2024-01-22,NATLUK SA,ACCIONES,1,7,7,49,Q
319,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1164,1955.52,Q
320,2024-01-22,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,0.9,1000,900,G
321,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,282,479.4,Q
322,2024-01-22,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,270,270,G
323,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,2000,3340,Q
324,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,3755,6308.4,Q
325,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,14647,24753.43,Q
326,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,5900,9971,Q
327,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,10000,16900,Q
328,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,3543,6023.1,Q
329,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,1000,1700,Q
330,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,642,1091.4,Q
331,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,4100,6970,Q
332,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,16027,27245.9,Q
333,2024-01-22,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.12,1785,1999.2,Q
334,2024-01-22,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,351,386.1,Q
335,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,2930,4922.4,G
336,2024-01-22,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,2284,3859.96,G
337,2024-01-22,CERVECERIA NACIONAL CN S A,ACCIONES,1,40,100,4000,Q
338,2024-01-23,NATLUK SA,ACCIONES,1,7,500,3500,Q
339,2024-01-23,CERVECERIA NACIONAL CN S A,ACCIONES,1,40,50,2000,Q
340,2024-01-23,BRIKAPITAL SA,ACCIONES,1000,400,2,800,Q
341,2024-01-23,CERVECERIA NACIONAL CN S A,ACCIONES,1,39.5,9,355.5,Q
342,2024-01-23,HOLCIM ECUADOR S.A.,ACCIONES,3,51.5,29,1493.5,Q
343,2024-01-23,CERVECERIA NACIONAL CN S A,ACCIONES,1,40,9,360,G
344,2024-01-23,HOLCIM ECUADOR S.A.,ACCIONES,3,40,70,2800,Q
345,2024-01-23,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,250,420,Q
347,2024-01-23,BANCO PICHINCHA C.A.,ACCIONES,100,84,4,336,Q
348,2024-01-23,BANCO PICHINCHA C.A.,ACCIONES,100,82,258,21156,Q
349,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,700,1176,Q
350,2024-01-24,BANCO PICHINCHA C.A.,ACCIONES,100,80,64,5120,Q
351,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,223,374.64,Q
352,2024-01-24,HOLCIM ECUADOR S.A.,ACCIONES,3,40,250,10000,Q
353,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,221,371.28,Q
354,2024-01-24,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,970,970,Q
355,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,580,974.4,Q
356,2024-01-24,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.99,1120,1108.8,Q
357,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,2538,4238.46,Q
358,2024-01-24,NATLUK SA,ACCIONES,1,7,4,28,Q
359,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,2720,4569.6,Q
360,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,3976,6679.68,Q
361,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,589,995.41,Q
362,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,2500,4225,Q
363,2024-01-24,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,1000,1100,Q
364,2024-01-24,INVERSANCARLOS,ACCIONES,1,2.6,3000,7800,G
365,2024-01-24,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,544,1000.96,G
366,2024-01-24,CERVECERIA NACIONAL CN S A,ACCIONES,1,40,50,2000,Q
367,2024-01-25,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.01,284,286.84,Q
368,2024-01-25,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,197,330.96,Q
369,2024-01-25,BANCO PICHINCHA C.A.,ACCIONES,100,80,8,640,Q
370,2024-01-25,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,5773,9698.64,Q
371,2024-01-25,BANCO PICHINCHA C.A.,ACCIONES,100,80,32,2560,G
372,2024-01-25,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,500,845,Q
373,2024-01-25,HOLCIM ECUADOR S.A.,ACCIONES,3,40,130,5200,Q
374,2024-01-25,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,1000,1700,Q
375,2024-01-25,BOLSA DE VALORES DE QUITO,ACCIONES,1,2.7,3735,10084.5,Q
376,2024-01-25,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,3094,5259.8,Q
377,2024-01-25,BOLSA DE VALORES DE QUITO,ACCIONES,1,2.7,240,648,Q
378,2024-01-25,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,5883,10001.1,Q
379,2024-01-25,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,97,2,194,Q
382,2024-01-25,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,19113,32109.84,Q
386,2024-01-25,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
396,2024-01-25,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
399,2024-01-25,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,5,490,Q
401,2024-01-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,2977,5001.36,Q
402,2024-01-26,BOLSA DE VALORES DE QUITO,ACCIONES,1,2.7,2760,7452,Q
403,2024-01-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1353,2273.04,Q
404,2024-01-26,BANCO PICHINCHA C.A.,ACCIONES,100,80,32,2560,Q
406,2024-01-26,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,1069,1069,Q
407,2024-01-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,3517,5908.56,Q
408,2024-01-26,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,450,450,Q
409,2024-01-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,2136,3588.48,Q
410,2024-01-26,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,331,331,Q
411,2024-01-26,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,8696,10000.4,Q
412,2024-01-26,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,10000,10000,G
413,2024-01-26,CERVECERIA NACIONAL CN S A,ACCIONES,1,40,30,1200,Q
414,2024-01-26,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,270,270,G
415,2024-01-29,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.13,104,117.52,Q
416,2024-01-29,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1,11537,11537,Q
417,2024-01-29,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.12,250,280,Q
418,2024-01-29,NATLUK SA,ACCIONES,1,7,5,35,Q
419,2024-01-29,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,200,220,Q
420,2024-01-29,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,1533,1686.3,Q
421,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,1085,1833.65,G
422,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,1090,1842.1,Q
423,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,4,6.76,Q
424,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,1140,1926.6,Q
425,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,10677,17937.36,Q
426,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,1629,2753.01,Q
427,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,1750,2957.5,Q
428,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,3200,5408,Q
429,2024-01-29,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,30000,50700,Q
430,2024-01-30,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,1429,1429,Q
431,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,575,966,Q
432,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,2075,3486,Q
433,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,67,113.9,Q
434,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,43,72.67,Q
435,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,3624,6088.32,Q
436,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,350,591.5,Q
437,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,10000,16900,Q
438,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,3700,6253,Q
439,2024-01-30,INVERSANCARLOS,ACCIONES,1,2.6,3000,7800,Q
440,2024-01-30,INVERSANCARLOS,ACCIONES,1,2.6,3000,7800,G
441,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,300,504,G
442,2024-01-30,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,690,1159.2,G
443,2024-01-30,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.13,1916,2165.08,G
444,2024-01-31,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,5100,5100,Q
445,2024-01-31,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,986,1133.9,G
446,2024-01-31,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.02,61,62.22,G
447,2024-01-31,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,25000,28750,G
448,2024-01-31,HOLCIM ECUADOR S.A.,ACCIONES,3,40,429,17160,Q
449,2024-01-31,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,5636,6481.4,G
450,2024-01-31,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,5087,5850.05,G
451,2024-01-31,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,200,336,G
452,2024-01-31,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,2175,3654,Q
453,2024-01-31,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,3878,6553.82,Q
454,2024-01-31,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,106862,179528.16,Q
455,2024-01-31,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,124,210.8,Q
456,2024-01-31,CERVECERIA NACIONAL CN S A,ACCIONES,1,39.8,25,995,G
457,2024-01-31,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.7,357,249.9,G
458,2024-02-01,BOLSA DE VALORES DE QUITO,ACCIONES,1,2.75,4092,11253,Q
459,2024-02-01,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.7,6398,4478.6,Q
460,2024-02-01,BANCO PICHINCHA C.A.,ACCIONES,100,80,8,640,Q
461,2024-02-01,CERVECERIA NACIONAL CN S A,ACCIONES,1,39,40,1560,G
462,2024-02-01,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1,12000,12000,G
463,2024-02-01,CERVECERIA NACIONAL CN S A,ACCIONES,1,38,600,22800,Q
464,2024-02-01,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.02,5256,5361.12,Q
465,2024-02-01,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,3050,5124,Q
466,2024-02-01,BRIKAPITAL SA,ACCIONES,1000,400,4,1600,Q
467,2024-02-01,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,29,49.3,Q
468,2024-02-01,BRIKAPITAL SA,ACCIONES,1000,400,10,4000,Q
469,2024-02-01,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,35,58.8,Q
470,2024-02-01,NATLUK SA,ACCIONES,1,7,7,49,Q
471,2024-02-01,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,362,608.16,Q
472,2024-02-01,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,14035,23719.15,Q
473,2024-02-01,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,191,320.88,G
474,2024-02-01,INVERSANCARLOS,ACCIONES,1,2.6,2065,5369,Q
475,2024-02-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
476,2024-02-02,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,1497,1721.55,Q
478,2024-02-02,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,2137,2457.55,G
480,2024-02-02,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,5551,9325.68,G
482,2024-02-02,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,19362,32528.16,Q
484,2024-02-02,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1753,2945.04,Q
486,2024-02-02,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,3000,5010,Q
488,2024-02-02,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1999,3358.32,Q
490,2024-02-02,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,2000,3340,Q
492,2024-02-02,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,614,1037.66,Q
495,2024-02-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
501,2024-02-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,3,300,Q
502,2024-02-02,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,5,500,Q
503,2024-02-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,211,354.48,Q
504,2024-02-05,NATLUK SA,ACCIONES,1,7,5,35,G
505,2024-02-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1799,3022.32,Q
506,2024-02-05,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.03,1002,1032.06,G
507,2024-02-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,1122,1896.18,Q
508,2024-02-05,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.03,1000,1030,G
509,2024-02-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,300,507,Q
511,2024-02-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,8118,13719.42,Q
512,2024-02-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,2338,3951.22,Q
513,2024-02-05,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,740,851,G
514,2024-02-05,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,1000,1150,Q
515,2024-02-05,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,4260,4899,Q
516,2024-02-05,CERRO VERDE FORESTAL S A BIGFOREST,ACCIONES,1,29,630,18270,G
517,2024-02-05,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1,1.08,7000,7560,Q
518,2024-02-06,BANCO DEL AUSTRO,ACCIONES,1,0.5,10000,5000,Q
519,2024-02-06,CERVECERIA NACIONAL CN S A,ACCIONES,1,40,100,4000,Q
520,2024-02-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,259,259,Q
521,2024-02-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.16,1660,1925.6,Q
522,2024-02-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.02,500,510,Q
523,2024-02-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,1555,1788.25,Q
524,2024-02-06,HOLCIM ECUADOR S.A.,ACCIONES,3,49,86,4214,Q
525,2024-02-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,104,119.6,Q
526,2024-02-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,6693,7696.95,Q
527,2024-02-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,1440,1656,Q
528,2024-02-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,104,119.6,G
529,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,5000,8350,Q
530,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,763,1281.84,Q
531,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,44,74.36,Q
532,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,23,38.64,Q
533,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,11084,18621.12,Q
534,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,2916,4898.88,Q
535,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,325,546,Q
536,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,1170,1977.3,Q
538,2024-02-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,4866,8174.88,Q
539,2024-02-07,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.02,460,469.2,Q
540,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,669,1130.61,Q
541,2024-02-07,NATLUK SA,ACCIONES,1,7,6,42,G
542,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,2000,3360,Q
543,2024-02-07,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.03,1940,1998.2,G
544,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1024,1720.32,Q
545,2024-02-07,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,11375,13081.25,G
546,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,338,574.6,G
547,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,237,400.53,G
548,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,100,170,G
549,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,160,272,G
550,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,250,425,G
551,2024-02-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.7,152,258.4,G
552,2024-02-07,TECATEAK SA,ACCIONES,1,3.97,503,1996.91,Q
553,2024-02-07,TECATEAK SA,ACCIONES,1,3.97,1007,3997.79,Q
554,2024-02-08,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1.01,3883,3921.83,Q
555,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.69,575,971.75,G
556,2024-02-08,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,1000,1000,Q
557,2024-02-08,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,9403,10813.45,G
558,2024-02-08,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,38625,44418.75,Q
559,2024-02-08,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,16918,19455.7,Q
560,2024-02-08,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,3990,4389,Q
561,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,106,178.08,Q
562,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,1000,1670,Q
563,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,9474,15821.58,Q
564,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,476,799.68,Q
566,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1470,2469.6,Q
567,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,1134,1893.78,Q
568,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,760,1276.8,Q
569,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,445,747.6,Q
570,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,374,624.58,Q
571,2024-02-08,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,1454,2428.18,Q
573,2024-02-09,BANCO PICHINCHA C.A.,ACCIONES,100,82,641,52562,Q
574,2024-02-09,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,2960,4943.2,Q
575,2024-02-09,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,200,220,Q
576,2024-02-09,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,1666,1915.9,Q
577,2024-02-09,CORPORACION FAVORITA C.A.,ACCIONES,1,1.68,1061,1782.48,G
578,2024-02-14,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,1166,1166,Q
579,2024-02-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,1034,1726.78,G
580,2024-02-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.67,9862,16469.54,G
