,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
1229,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,2000,4300,Q
1231,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,1581,3399.15,Q
1233,2023-02-23,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,640,1363.2,Q
1235,2023-02-23,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.11,1036,1149.96,G
1250,2023-02-23,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
1256,2023-02-23,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,3,300,Q
1258,2023-02-23,BANCO PICHINCHA C.A.,ACCIONES,100,82,22,1804,G
1259,2023-02-23,BANCO PICHINCHA C.A.,ACCIONES,100,80,5,400,Q
1260,2023-02-24,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.11,570,632.7,Q
1261,2023-02-24,BANCO BOLIVARIANO C.A.,ACCIONES,1,1,5600,5600,G
1262,2023-02-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,400,856,Q
1263,2023-02-24,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,G
1264,2023-02-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.15,673,1446.95,Q
1266,2023-02-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,2000,4260,Q
1268,2023-02-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,1981,4219.53,Q
1270,2023-02-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,535,1139.55,Q
1272,2023-02-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,420,894.6,Q
1273,2023-02-24,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,1,98,Q
1274,2023-02-24,CERVECERIA NACIONAL CN S A,ACCIONES,1,59,263,15517,G
1276,2023-02-24,CORPORACION FAVORITA C.A.,ACCIONES,1,2.14,5000,10700,G
1301,2023-02-24,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,2,196,Q
1311,2023-02-24,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,98,4,392,Q
1312,2023-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,770,1640.1,G
1313,2023-02-27,BRIKAPITAL SA,ACCIONES,1000,750,5,3750,Q
1314,2023-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,2.13,1000,2130,G
